SVID,Name_E,Name_G,TCode,DCode,VCode,MDDS_Code
10000746,Heerapur (Barhi Ward no 15),Heerapur (Barhi Ward no 15),0243,38,10000737,
10000747,Karipather Badi,Karipather Badi,0247,38,45679,488926
10000748,Ghughra,Ghughra,0247,38,45679,488926
10000749,Boda,Boda,0247,38,45603,488850
10000750,Jyantinagar Bhitoni,Jyantinagar Bhitoni,0241,38,45014,488151
10000751,Deori sani,Deori sani,0241,38,44951,488088
10000752,Bhadora,Bhadora,0241,38,45011,488148
10000753,Lalitpur,Lalitpur,0242,38,44851,488227
10000754,Salaiya,Salaiya,0242,38,44851,488227
10000755,Kymore,Kymore,0245,38,45260,488513
10000756,Dair salaiya,Dair salaiya,0245,38,45287,488540
10000757,Banjari,Banjari,0244,38,10000736,
10000758,ASHAKHO,ASHAKHO,0166,27,32173,476563
10000759,Asareta Pawar,Asareta Pawar,0188,30,36744,480050
10000760,Ashaeta rawat,Ashaeta rawat,0188,30,36744,480050
10000761,Nishana,Nishana,0188,30,36744,480050
10000762,Lakha khedi,Lakha khedi,0188,30,36744,480050
10000763,Kuldasa,Kuldasa,0188,30,36744,480050
10000764,Bani,Bani,0188,30,36744,480050
10000765,Aluni,Aluni,0188,30,36744,480050
10000766,Tikod,Tikod,0188,30,36744,480050
10000767,Lata hedi,Lata hedi,0188,30,10000766,
10000768,Jabrdi,Jabrdi,0188,30,10000766,
10000769,Ninor,Ninor,0188,30,10000766,
10000770,Itawah,Itawah,0188,30,10000766,
10000771,Rethani,Rethani,0188,30,10000766,
10000772,Nindra khedi,Nindra khedi,0188,30,10000766,
10000773,Karondi,Karondi,0188,30,36741,480047
10000774,Barukhedi,Barukhedi,0188,30,36744,480050
10000775,Nenwada,Nenwada,0188,30,36750,480056
10000776,Dhamanda,Dhamanda,0188,30,36750,480056
10000777,Gayan,Gayan,0188,30,36750,480056
10000778,Ghattiya,Ghattiya,0188,30,10000776,
10000779,Gandhi nagar,Gandhi nagar,0188,30,36725,480031
10000780,Jiwajipura,Jiwajipura,0188,30,36668,479974
10000781,Kalyanpur,Kalyanpur,0188,30,36750,480056
10000782,Lodhipura,Lodhipura,0188,30,36750,480056
10000783,Malkana,Malkana,0188,30,36688,479994
10000784,sunderkhedi,sunderkhedi,0187,30,36532,479837
10000785,Goliapura,Goliapura,0189,30,36832,480084
10000786,Naidilli,Naidilli,0189,30,36832,480084
10000787,Kadiachaurasia,Kadiachaurasia,0189,30,36956,480208
10000788,Bhagwanpura,Bhagwanpura,0189,30,37054,480247
10000789,Kotara,Kotara,0189,30,36914,480166
10000790,Kachipura,Kachipura,0189,30,36911,480163
10000791,Bankpura,Bankpura,0189,30,36911,480163
10000792,Malipura,Malipura,0189,30,36907,480159
10000793,Bhoipura,Bhoipura,0189,30,36911,480163
10000794,Ambadkar nagar,Ambadkar nagar,0189,30,36911,480163
10000795,Killapura,Killapura,0189,30,36844,480096
10000796,sonkatchpura,sonkatchpura,0189,30,36844,480096
10000797,indargarh,indargarh,0189,30,37084,480271
10000798,pipalton,pipalton,0189,30,37084,480271
10000799,Rukanyakhedi,Rukanyakhedi,0189,30,37091,480278
10000800,Moyachhaper,Moyachhaper,0189,30,37091,480278
10000801,Sherpura,Sherpura,0189,30,36910,480162
10000802,Bhoipura,Bhoipura,0189,30,36860,480112
10000803,kudali,kudali,0189,30,36926,480178
10000804,Kurawer Mandi,Kurawer Mandi,0189,30,37109,480296
10000805,Kurawargaon,Kurawargaon,0189,30,37107,480294
10000806,Kachipura,Kachipura,0189,30,36931,480183
10000807,Mirjapur,Mirjapur,0189,30,37099,480286
10000808,Burda,Burda,0189,30,37099,480286
10000809,Tikaria,Tikaria,0189,30,37099,480286
10000810,Talen,Talen,0189,30,37099,480286
10000811,Kachipura,Kachipura,0189,30,10000810,
10000812,Dudhipura,Dudhipura,0187,30,36386,479692
10000813,Khejad kho,Khejad kho,0187,30,36482,479787
10000814,Jamun ka pura,Jamun ka pura,0187,30,36482,479787
10000815,Hatyakho,Hatyakho,0187,30,36482,479787
10000816,Bediyapura,Bediyapura,0187,30,36482,479787
10000817,Bhangipura,Bhangipura,0187,30,36482,479787
10000818,Khedi gidor,Khedi gidor,0187,30,36432,479738
10000819,chakr,chakr,0187,30,36353,479659
10000820,kadiyagurgar,kadiyagurgar,0187,30,36555,479860
10000821,Mina kho,Mina kho,0187,30,36555,479860
10000822,Banjarapura,Banjarapura,0187,30,36555,479860
10000823,Kotra,Kotra,0187,30,36606,479911
10000824,Shekhpura,Shekhpura,0187,30,36611,479916
10000825,Lodhipura,Lodhipura,0187,30,36491,479796
10000826,Bijapura,Bijapura,0187,30,36491,479796
10000827,Hanumanpura,Hanumanpura,0187,30,36491,479796
10000828,Madhe ki gadiya,Madhe ki gadiya,0013,3,1669,453007
10000829,KULARIYA,,0027,5,3511,454890
10000830,Itarora,Itarora,0027,5,3586,454963
10000831,Janakpur,Janakpur,0026,5,3269,454614
10000832,Indranagar,Indranagar,0166,27,32196,476586
10000833,Boalai,,0142,22,27154,472986
10000834,DASTAKHEDI,,0142,22,27145,472977
10000835,NAYA AKODIYA,,0142,22,27145,472977
10000836,SIRWARA,,0216,34,41270,484649
10000837,SHINDI CAMP,,0216,34,41252,484642
10000838,NARAD,,0216,34,41273,484652
10000839,SILGENA,,0216,34,41275,484654
10000840,BEHRA (INTKHETI),,0216,34,41231,484621
10000841,SALEGAD,,0216,34,41231,484621
10000842,JHALPAL,,0216,34,41231,484621
10000843,QUARTER,,0216,34,41231,484621
10000844,DIYAKHEDI,,0216,34,41231,484621
10000845,AFATGANG,,0216,34,41231,484621
10000846,KAMRORA,,0216,34,41220,484610
10000847,BAMULIYA,,0216,34,41220,484610
10000848,DUDADEV,,0216,34,41242,484632
10000849,PANJHIRPA,,0216,34,41242,484632
10000850,KUNDA KHEDA,,0216,34,41224,484614
10000851,SHANKER GAD,,0216,34,41222,484612
10000852,AJEET NAGER,,0216,34,41222,484612
10000853,KANJAI,,0216,34,41223,484613
10000854,GORIYA,,0216,34,41293,484672
10000855,LALA KHEDI,,0216,34,41214,484604
10000856,SOJNA,,0216,34,41229,484619
10000857,BEHRA,,0216,34,41217,484607
10000858,NIWADI,,0216,34,41217,484607
10000859,KHIRIYA,,0215,34,41387,484545
10000860,BINEKA,,0215,34,41369,484527
10000861,SHYAM NAGAR,,0215,34,41368,484526
10000862,Arandiya,,0144,22,27466,473228
10000863,Digla khedi,,0143,22,27360,473123
10000864,Imlikheda,,0143,22,27357,473120
10000865,Nayapura,,0143,22,27357,473120
10000866,shyampur,,0143,22,27251,473014
10000867,khedi,,0143,22,27228,472991
10000868,dhaulpur,,0143,22,27262,473025
10000869,lasuldiya gauri,,0143,22,27262,473025
10000870,Ganglakhedi,,0143,22,27233,472996
10000871,Mayapura,,0143,22,27248,473011
10000872,Chakrod,,0143,22,27293,473056
10000873,mahuakhedi,,0143,22,27293,473056
10000874,Bhilkheda,,0143,22,27293,473056
10000875,Unchod,,0143,22,27310,473073
10000876,Bawanheda,,0143,22,27310,473073
10000877,Fulen,,0143,22,27278,473041
10000878,Ranibadod,,0143,22,10000877,
10000879,Chotiyakhedi,,0143,22,27318,473081
