SID,Name_E,Name_G,PID,TCode,DCode,Code_16,Phy_Vcode,Is_Tribal,Is_Notional
5160,SHC Devri,SHC Devri,947,0252,39,7,,0,0
5161,SHC CHANDRANI A,SHC CHANDRANI A,930,0261,41,109,,0,0
5162,SHC Sansarpur,SHC Sansarpur,900,0246,38,28,,0,0
5163,SHC Banwari,SHC Banwari,1080,0256,40,6,,0,0
5165,SHC CHARKHARI,SHC CHARKHARI,832,0310,48,29,,0,0
5166,SHC Parsatola,SHC Parsatola,893,0295,45,20,,0,0
5167,SHC Patulakhi,SHC Patulakhi,979,0321,50,15,,0,0
5168,SHC Indra Piparia,SHC Indra Piparia,947,0252,39,8,,0,0
5169,SHC Tewri,SHC Tewri,900,0246,38,29,,0,0
5170,SHC Rampura,SHC Rampura,1080,0256,40,7,,0,0
5171,SHC SARSHWAHI KALA,SHC SARSHWAHI KALA,832,0310,48,30,,0,0
5172,SHC Pakhada,SHC Pakhada,979,0321,50,16,,0,0
5173,SHC Umaria,SHC Umaria,947,0252,39,9,,0,0
5175,SHC Ajgurh,SHC Ajgurh,879,0324,51,1,,0,0
5176,SHC Khuteli,SHC Khuteli,979,0321,50,17,,0,0
5178,SHC Dungamahgaon,SHC Dungamahgaon,947,0252,39,10,,0,0
5179,SHC CHANDRANI B,SHC CHANDRANI B,930,0261,41,110,,0,0
5180,SHC Bandh,SHC Bandh,953,0247,38,1,0,0,0
5181,SHC Bachnaar,SHC Bachnaar,879,0324,51,2,,0,0
5182,SHC Kuseda,SHC Kuseda,979,0321,50,18,,0,0
5183,SHC KANCHANPUR,SHC KANCHANPUR,937,0261,41,111,,0,0
5185,SHC NEW SARSI,SHC NEW SARSI,838,0310,48,31,,0,0
5186,SHC Bihriya,SHC Bihriya,953,0247,38,2,0,0,0
5187,SHC CHHANTA,SHC CHHANTA,930,0261,41,112,,0,0
5188,SHC Bagaia,SHC Bagaia,879,0324,51,3,,0,0
5189,SHC Bahari,SHC Bahari,979,0321,50,19,,0,0
5191,SHC Sarekha,SHC Sarekha,893,0295,45,21,,0,0
5192,SHC SARAI,SHC SARAI,930,0261,41,113,,0,0
5193,SHC Mayapur,SHC Mayapur,979,0321,50,20,,0,0
5194,SHC Pipariya Kala,SHC Pipariya Kala,1108,0256,40,8,,0,0
5195,SHC Cakaria,SHC Cakaria,879,0324,51,4,,0,0
5197,SHC Bargarh,SHC Bargarh,879,0324,51,5,,0,0
5198,SHC Devgawan,SHC Devgawan,979,0321,50,21,,0,0
5199,SHC Dungariya,SHC Dungariya,1108,0256,40,9,,0,0
5200,SHC Mendki,SHC Mendki,893,0295,45,22,,0,0
5202,SHC Chatri,SHC Chatri,879,0324,51,6,,0,0
5203,SHC Kandai,SHC Kandai,893,0295,45,23,,0,0
5204,SHC Godahi,SHC Godahi,979,0321,50,22,,0,0
5206,SHC Tuia Pani,SHC Tuia Pani,1080,0256,40,10,,0,0
5208,SHC Bithli (Ukwa),SHC Bithli (Ukwa),893,0295,45,24,,0,0
5211,SHC Amgaon,SHC Amgaon,1080,0256,40,11,,0,0
5212,SHC Amarpur,SHC Amarpur,981,0321,50,23,,0,0
5213,SHC Dhimerkheda,SHC Dhimerkheda,953,0247,38,3,0,0,0
5214,SHC Chitrangi,SHC Chitrangi,879,0324,51,7,,0,0
5215,SHC Sapahi,SHC Sapahi,981,0321,50,24,,0,0
5217,SHC Ganiari,SHC Ganiari,953,0247,38,4,0,0,0
5218,SHC Khaira,SHC Khaira,981,0321,50,25,,0,0
5220,SHC Khursi paar,SHC Khursi paar,1080,0256,40,12,,0,0
5221,SHC Imaliya,SHC Imaliya,1080,0256,40,13,,0,0
5222,SHC Lood,SHC Lood,893,0295,45,25,,0,0
5223,SHC Barha,SHC Barha,947,0252,39,13,,0,0
5224,SHC Guda,SHC Guda,953,0247,38,5,0,0,0
5225,SHC Bamhori Kala,SHC Bamhori Kala,1108,0256,40,14,,0,0
5226,SHC Kailwas,SHC Kailwas,947,0252,39,14,,0,0
5227,SHC Sonpuri,SHC Sonpuri,893,0295,45,26,,0,0
5228,SHC Jamada,SHC Jamada,1080,0256,40,15,,0,0
5229,SHC JhinnaPiparia,SHC JhinnaPiparia,953,0247,38,6,0,0,0
5230,SHC Pathri,SHC Pathri,893,0295,45,27,,0,0
5231,SHC Bandarkola,SHC Bandarkola,947,0252,39,15,,0,0
5233,SHC Paloha Bada,SHC Paloha Bada,1108,0256,40,16,,0,0
5234,SHC Khori,SHC Khori,981,0321,50,26,,0,0
5235,SHC SAMNAPUR,SHC SAMNAPUR,930,0261,41,114,,0,0
5236,SHC Gujar Jhiriya,SHC Gujar Jhiriya,1108,0256,40,17,,0,0
5237,SHC Dungaria,SHC Dungaria,947,0252,39,16,,0,0
5238,SHC Murwari Parsel,SHC Murwari Parsel,953,0247,38,7,0,0,0
5240,SHC Tenduha,SHC Tenduha,981,0321,50,27,,0,0
5241,SHC Chirah Kala,SHC Chirah Kala,1108,0256,40,18,,0,0
5242,SHC Bargi,SHC Bargi,952,0252,39,17,,0,0
5243,SHC Piparia Shukla,SHC Piparia Shukla,953,0247,38,8,0,0,0
5244,SHC MEHANDWANI,SHC MEHANDWANI,921,0260,41,1,,0,0
5245,SHC Sharda,SHC Sharda,981,0321,50,28,,0,0
5246,SHC Khakariya,SHC Khakariya,1108,0256,40,19,,0,0
5247,SHC Sahajpuri,SHC Sahajpuri,952,0252,39,18,,0,0
5250,SHC Kuchwahi,SHC Kuchwahi,981,0321,50,29,,0,0
5251,SHC Dudhmania,SHC Dudhmania,879,0324,51,8,,0,0
5252,SHC Barginagar,SHC Barginagar,952,0252,39,19,,0,0
5253,SHC DADARGAON,SHC DADARGAON,921,0260,41,2,,0,0
5254,SHC Sukri,SHC Sukri,952,0252,39,20,,0,0
5255,SHC KATHOTIYA,SHC KATHOTIYA,921,0260,41,3,,0,0
5257,SHC Gardhwa,SHC Gardhwa,879,0324,51,9,,0,0
5258,SHC Pokhara,SHC Pokhara,986,0321,50,30,,0,0
5259,SHC KANERI,SHC KANERI,925,0260,41,4,,0,0
5260,SHC Kaladehi,SHC Kaladehi,952,0252,39,21,,0,0
5261,SHC Dasharman,SHC Dasharman,953,0247,38,9,,0,0
5262,SHC NAIJHAR,SHC NAIJHAR,921,0260,41,5,,0,0
