TCode,Name_E,Name_G,BID
0267,Nainpur,Nainpur,290
0266,Bichhiya,Bichhiya,291
0266,Bichhiya,Bichhiya,292
0334,Alirajpur,Alirajpur,42
0262,Niwas,Niwas,293
0262,Niwas,Niwas,294
0264,Mandla,Mandla,295
0264,Mandla,Mandla,296
0264,Mandla,Mandla,297
0262,Niwas,Niwas,289
0263,Narayanganj,Narayanganj,293
0264,Mandla,Mandla,296
0264,Mandla,Mandla,295
0271,Chaurai,Chaurai,268
0266,Bichhiya,Bichhiya,291
0266,Bichhiya,Bichhiya,292
0279,Pandhurna,Pandhurna,280
0272,Jamai,Jamai,274
0273,Parasia,Parasia,281
0277,Sausar,Sausar,282
0268,Tamia,Tamia,283
0073,Kesli,Kesli,121
0060,Amanganj,Amanganj,75
0058,Devendranagar,Devendranagar,67
0214,Goharganj,Goharganj,122
0241,Murwara,Murwara,210
0218,Udaipura,Udaipura,123
0074,Deori,Deori,124
0057,Panna,Panna,67
0185,Khilchipur,Khilchipur,108
0211,Raisen,Raisen,119
0059,Gunnor,Gunnor,75
0235,Hoshangabad,Hoshangabad,91
0186,Rajgarh,Rajgarh,74
0237,Babai,Babai,88
0188,Sarangpur,Sarangpur,110
0240,Bankhedi,Bankhedi,89
0190,Pachore,Pachore,110
0235,Hoshangabad,Hoshangabad,91
0234,Itarsi,Itarsi,96
0239,Pipariya,Pipariya,118
0202,Huzur,Huzur,128
0221,Betul ,Betul ,77
0233,Seoni-Malwa,Seoni-Malwa,115
0201,Berasia,Berasia,129
0238,Sohagpur,Sohagpur,116
0069,Rahatgarh,Rahatgarh,125
0213,Begamganj,Begamganj,94
0212,Gairatganj,Gairatganj,97
0214,Goharganj,Goharganj,122
0227,Khirkiya,Khirkiya,83
0217,Silwani,Silwani,113
0231,Timarni,Timarni,85
0218,Udaipura,Udaipura,123
0219,Bhainsdehi,Bhainsdehi,102
0071,Garhakota,Garhakota,120
0219,Bhainsdehi,Bhainsdehi,111
0222,Chicholi,Chicholi,56
0223,Ghodadongari,Ghodadongari,99
0225,Multai,Multai,104
0241,Murwara,Murwara,210
0228,Sirali,Sirali,83
0232,Rehatgaon,Rehatgaon,85
0225,Multai,Multai,109
0224,Shahpur,Shahpur,114
0220,Athner,Athner,61
0070,Sagar,Sagar,126
0206,Jawar,Jawar,57
0070,Sagar,Sagar,127
0210,Rehti,Rehti,60
0064,Bina,Bina,51
0070,Sagar,Sagar,95
0064,Bina,Bina,51
0067,Banda,Banda,87
0068,Shahgarh,Shahgarh,92
0074,Deori,Deori,124
0070,Sagar,Sagar,126
0073,Kesli,Kesli,121
0065,Khurai,Khurai,84
0066,Malthone,Malthone,86
0069,Rahatgarh,Rahatgarh,125
0072,Rehli,Rehli,117
0071,Garhakota,Garhakota,117
0070,Sagar,Sagar,95
0202,Huzur,Huzur,128
0201,Berasia,Berasia,129
0125,Sailana,Sailana,182
0315,Anuppur,Anuppur,211
0246,Bahoriband,Bahoriband,211
0255,Gotegaon,Gotegaon,212
0288,Katangi,Katangi,213
0323,Kusmi,Kusmi,214
0310,Beohari,Beohari,17
0290,Waraseoni,Waraseoni,216
