SID,VCode
598,2834
598,3204
599,3051
599,3206
599,3208
599,3209
600,2846
600,3299
600,3301
601,3227
601,3308
601,3927
602,3266
602,3270
602,3273
602,3286
602,3652
603,3214
603,3244
603,3245
603,3259
604,3288
604,3573
605,3596
605,4185
606,4609
607,3671
608,3671
609,5415
610,3696
611,5148
612,3442
613,5274
614,5407
615,3727
616,2931
617,5261
618,3477
619,3609
620,3509
621,3510
622,5105
623,5397
624,4626
625,5404
626,3702
627,3654
627,5213
628,5389
629,3649
630,3676
631,4977
632,3659
633,3567
634,3553
635,5218
636,3661
637,3604
638,3527
639,3598
640,3064
641,5025
642,3557
643,5336
644,3542
645,2632
646,2632
647,2692
648,3927
649,5244
650,3637
651,3920
651,3923
651,3948
651,3953
651,3957
651,4578
652,3602
653,5569
654,5569
655,4208
656,2994
657,4045
658,4015
659,4013
660,3997
661,3066
662,3642
663,119
664,115
665,58
666,1133
667,25
668,1221
669,1395
670,545
671,154
672,684
673,107
674,777
675,1388
676,1031
677,14
678,17
679,1380
680,2
681,1
682,851
683,467
684,163
685,166
686,734
687,837
688,864
689,83
690,361
691,126
692,300
693,300
694,217
695,361
696,420
697,285
698,684
699,278
700,488
701,493
702,494
703,184
704,182
705,208
706,221
707,220
708,264
709,256
710,882
711,245
712,253
713,1156
714,258
715,270
716,174
717,177
718,1293
719,231
720,240
721,319
722,1098
723,1098
724,395
725,201
726,1042
727,301
728,825
729,1094
730,289
731,190
732,192
733,189
734,1490
735,1081
736,398
737,398
738,377
739,1427
740,1309
741,409
742,354
743,364
744,368
745,365
746,519
747,545
748,1002
749,384
750,1278
751,345
752,775
753,332
754,338
755,325
756,327
757,443
758,458
759,459
760,452
761,468
762,474
763,485
764,486
765,416
766,1412
767,1418
768,429
769,440
770,483
771,426
772,431
773,168
774,1398
775,597
776,1413
777,609
778,640
779,1492
780,602
781,581
782,160
783,364
784,559
785,633
786,633
787,632
788,1582
789,555
790,1276
791,684
792,811
793,146
794,1503
795,864
796,462
797,409
798,551
799,540
800,511
801,946
802,613
803,919
804,506
805,499
806,509
807,487
808,984
809,783
810,783
811,770
812,714
813,776
814,206
815,825
816,684
817,58
818,1480
819,788
820,1253
821,1416
822,735
823,816
824,1422
825,680
826,841
827,722
828,701
829,1093
830,728
831,705
832,709
833,686
834,681
835,693
836,663
837,678
838,675
839,652
840,666
841,860
842,978
843,991
844,1250
845,1004
846,1537
847,894
848,901
849,1558
850,1583
851,961
852,878
853,847
854,843
855,848
856,1396
857,860
858,853
859,99
860,961
861,969
862,944
863,922
864,912
865,932
866,920
867,1387
868,933
869,611
870,1122
871,317
872,1061
873,1123
874,1061
875,573
876,1079
877,1073
878,834
879,1037
880,1097
881,1045
882,1058
883,1017
884,1010
885,1267
886,1024
887,1034
888,1093
889,1593
890,1582
891,1210
892,1548
893,666
894,734
895,1133
896,663
897,1141
898,1152
899,1138
900,486
901,1145
902,160
903,1166
904,1161
905,1163
906,1151
907,1178
908,1158
909,1540
910,1222
911,1040
912,1261
913,3859
913,3877
913,5346
914,4216
915,3894
916,5228
917,4102
918,4299
919,3861
920,4226
921,3842
922,2205
923,4960
924,4960
925,3731
926,4348
927,3712
928,4441
929,4155
930,4170
931,5375
932,3823
933,3805
934,5521
935,3796
936,3176
937,4794
938,4597
939,4380
940,4373
940,5106
941,3728
941,4306
941,4310
942,3955
942,4297
943,3233
943,4284
943,4312
943,4324
943,4334
943,4353
943,4362
944,4602
945,2645
945,4349
946,4311
946,4318
946,4919
947,3212
947,4377
947,4402
948,4256
948,4331
948,4335
948,4338
948,4341
949,4228
950,4239
950,4244
950,4245
951,4503
951,4773
951,5566
952,4375
952,4379
952,4382
952,4383
953,5044
954,2757
954,4404
955,4089
955,4400
955,4408
956,4411
956,4412
957,4398
957,4399
957,4407
958,4396
958,5162
959,4392
959,4393
959,4397
960,4574
961,3593
961,4964
962,4261
962,4277
963,601
963,4264
964,3889
965,5041
966,3496
967,4268
967,4273
967,4276
967,4329
968,4266
969,4547
969,4557
969,4559
969,4569
969,4726
969,5080
970,4564
970,4565
970,4589
970,5526
971,4586
971,4591
971,4592
971,4593
971,4594
971,4595
972,4572
972,4575
972,4593
972,4597
972,4598
972,4599
973,4578
973,4579
973,4603
973,4605
974,4246
974,4499
974,4505
974,4538
974,4552
974,4553
975,4528
975,4530
975,4532
975,4534
975,4540
975,4542
975,4546
976,4483
976,4484
976,4523
976,4525
976,4535
976,4537
976,4539
977,4556
977,4563
977,4619
977,4620
977,4621
977,4622
978,4335
978,4514
978,4515
978,4516
978,4518
979,3649
979,4433
