PID,Name_E,Name_G,CID,DCode,TCode,BID,Code_16,Phy_VCode,Facility_Type,Is_Tribal,Is_Notional
1372,Saran,सारण,,20,0146,142,,,1,0,False
1373,Siriyari,सि‍रियारी,,20,0146,142,,,1,0,False
1374,Kharchi,खारची	,,20,0146,142,,,2,0,False
1375,Nadol,नाडोल,,20,0147,143,,,2,0,False
1376,Narlaie,नारलई,,20,0147,143,,,1,0,False
1377,Dadaie,दादई,,20,0147,143,,,1,0,False
1378,Bagole,बगोल,,20,0147,143,,,1,0,False
1379,Desuri,देसुरी,,20,0147,143,,,2,0,False
1380,Sadri,सादडी,,20,0147,143,,,2,0,False
1381,Khod,खोड,,20,0150,144,,,2,0,False
1382,Boosi,बूसी,,20,0150,144,,,1,0,False
1383,Jawali,जवाली,,20,0150,144,,,1,0,False
1384,Khinwara,खिंवाडा,,20,0150,144,,,1,0,False
1385,Rani,रानी,,20,0150,144,,,2,0,False
1386,Mundara,मुण्‍डारा,,20,0149,145,,,1,0,False
1387,Falna,फालना,,20,0149,145,,,1,0,False
1388,Sewari,सेवाडी,,20,0149,145,,,1,0,False
1389,Lunawa,लुणावा,,20,0149,145,,,1,0,False
1390,Shivtalab,शिव तलाव,,20,0149,145,,,1,0,False
1391,Bisalpura,बिसलपुर,,20,0149,145,,,1,0,False
1392,Chamunderi,चामुण्‍डेरी,,20,0149,145,,,1,0,False
1092,Bhuniya,भुणिया,,17,0128,114,,,1,0,False
1093,Piprali,पीपराली,,17,0125,114,,,1,0,False
1094,Gandhav Khurd,गांधव खुर्द,,17,0125,114,,,1,0,False
1095,Sonadi,सोनडी,,17,0126,114,,,1,0,False
1096,Ogala,औगाला,,17,0128,114,,,1,0,False
1097,Gangasara,गंगासरा,,17,0128,114,,,1,0,False
1098,Bhedana,भेडाना,,17,0125,114,,,1,0,False
1099,Araniyali,अरणियाली रामपुरा,,17,0125,114,,,1,0,False
1100,Dhorimanna,धोरिमन्‍ना,,17,0125,114,,,2,0,False
1101,Gudamalani,गुडामालानी,,17,0125,114,,,2,0,False
1102,Khandap,खण्‍डप,,17,0124,115,,,1,0,False
1103,Mokalsar,मोकलसर,,17,0124,115,,,1,0,False
1104,Padru,पादरू,,17,0124,115,,,1,0,False
1105,Ramniya,रमणीया,,17,0124,115,,,1,0,False
1106,Rakhi,राखी,,17,0124,115,,,1,0,False
1107,Majal,मजल,,17,0124,115,,,1,0,False
1108,Ajeet,अजीत,,17,0124,115,,,1,0,False
1109,Indrana,इन्‍द्राणा,,17,0124,115,,,1,0,False
1110,Samdari,समदडी,,17,0124,115,,,2,0,False
1111,Siwana,सिवाना,,17,0124,115,,,2,0,False
1112,Dist Hospital Barmer,डिस्ट्रिक्‍ट होस्पिटल बाडमेर,,17,0000,,,,5,0,False
1113,City Dispensary Gandhi Chowk,सिटी डिस्‍पेंसरी गांधी चौक,,17,0000,,,,8,0,False
1114,Police Dispensary Mahavir Nagar,पुलिस डिस्‍पेंसरी बाडमेर,,17,0000,,,,8,0,False
1220,Kansing Ji Ki Seed,कानसिहजी की सीड,,15,0111,128,,,1,0,False
1221,Baru,बारू	,,15,0111,128,,,2,0,False
1222,Jamba,जाम्‍भा	,,15,0111,128,,,1,0,False
1223,Bap,बाप,,15,0111,128,,,2,0,False
1224,Bhikamkor,भीखमकोर		,,15,0112,129,,,1,0,False
1225,Cherai,चिरई	,,15,0112,129,,,1,0,False
1226,Jhakhan,जाखन	,,15,0112,129,,,1,0,False
1227,Mtora,मातोडा	,,15,0112,129,,,1,0,False
1228,Palli,पल्‍ली	,,15,0112,129,,,1,0,False
1229,Panchalakhurd,पांचलाखुर्द	,,15,0112,129,,,1,0,False
1230,Samraoun,सामराउ	,,15,0112,129,,,1,0,False
1231,Pandit Ji Ki Dhani,पंडितजी की ढांणी	,,15,0112,129,,,1,0,False
1232,Tiwari,तिंवरी,,15,0112,129,,,1,0,False
1233,Mathaniya,मथानिया	,,15,0112,129,,,2,0,False
1234,Osian,ओंसियां	,,15,0112,129,,,2,0,False
1235,Khangta,खांगटा	,,15,0113,130,,,1,0,False
1236,Khwaspura,खवासपुरा	,,15,0113,130,,,1,0,False
1237,Kosana,कोसाना	,,15,0113,130,,,1,0,False
