PID,Name_E,Name_G,CID,DCode,TCode,BID,Code_16,Phy_VCode,Facility_Type,Is_Tribal,Is_Notional
303,PHC TARHASI,PHC TARHASI,,19,0134,124,502,,1,0,False
304,CHC PANKI,CHC PANKI,,19,0136,126,501,,2,0,False
305,PHC KONWAI,PHC KONWAI,,19,0136,126,502,,1,0,False
306,PHC LOHARSI,PHC LOHARSI,,19,0136,126,503,,1,0,False
307,CHC PATAN,CHC PATAN,,19,0132,125,501,,2,0,False
308,PHC KISHUNPUR,PHC KISHUNPUR,,19,0132,125,502,,1,0,False
309,PHC NAWAJAIPUR,PHC NAWAJAIPUR,,19,0132,125,503,,1,0,False
310,CHC LESLIGANJ,CHC LESLIGANJ,,19,0138,200,501,,2,0,False
311,PHC BANSHDIH,PHC BANSHDIH,,19,0138,200,502,,1,0,False
312,CHC HARIHARGANJ,CHC HARIHARGANJ,,19,0124,198,501,,2,0,False
313,PHC BABHANDI,PHC BABHANDI,,19,0124,198,502,,1,0,False
314,CHC CHHATRPUR,CHC CHHATRPUR,,19,0126,121,501,,2,0,False
315,PHC NODIHA BAZAR,PHC NODIHA BAZAR,,19,0126,121,502,,1,0,False
316,PHC TELARI,PHC TELARI,,19,0126,121,503,,1,0,False
317,PHC SARAIDIH,PHC SARAIDIH,,19,0126,121,504,,1,0,False
318,CHC HUSSAINABAD,CHC HUSSAINABAD,,19,0121,123,501,,2,0,False
319,PHC ADHAORA,PHC ADHAORA,,19,0121,123,502,,1,0,False
320,PHC BULANDBIGHA,PHC BULANDBIGHA,,19,0121,123,503,,1,0,False
321,PHC BEGAMPURA,PHC BEGAMPURA,,19,0121,123,504,,1,0,False
322,PHC MAJURAHA,PHC MAJURAHA,,19,0121,123,505,,1,0,False
323,PHC HAIDARNAGAR,PHC HAIDARNAGAR,,19,0121,123,506,,1,0,False
324,CHC ANGARA,CHC ANGARA,,25,0192,1,501,,2,0,False
325,PHC JONHA,PHC JONHA,,25,0192,1,502,,1,0,False
326,PHC GETALSUD,PHC GETALSUD,,25,0192,1,503,,1,0,False
327,CHC BERO,CHC BERO,,25,0201,3,501,,2,0,False
328,PHC NARCOPI,PHC NARCOPI,,25,0201,3,502,,1,0,False
330,PHC ITKI,PHC ITKI,,25,0201,3,503,,1,0,False
331,CHC BUNDU,CHC BUNDU,,25,0204,154,501,,2,0,False
332,PHC TAIMARA,PHC TAIMARA,,25,0204,154,502,,1,0,False
333,CHC BURMU,CHC BURMU,,25,0188,155,501,,2,0,False
334,PHC THAKURGAON,PHC THAKURGAON,,25,0188,155,502,,1,0,False
335,PHC MEKLUSKIGANJ,PHC MEKLUSKIGANJ,,25,0188,155,503,,1,0,False
336,CHC CHANHO,CHC CHANHO,,25,0200,156,501,,2,0,False
337,PHC BEASI,PHC BEASI,,25,0200,156,502,,1,0,False
338,CHC KANKE,CHC KANKE,,25,0190,157,501,0,2,0,False
339,PHC PITHORIYA,PHC PITHORIYA,,25,0190,157,502,0,1,0,False
340,CHC LAPUNG,CHC LAPUNG,,25,0203,158,501,,2,0,False
341,PHC KARIYA,PHC KARIYA,,25,0203,158,502,,1,0,False
342,CHC MANDAR,CHC MANDAR,,25,0199,159,501,,2,0,False
343,PHC TANGAR BANSALI,PHC TANGAR BANSALI,,25,0199,159,502,,1,0,False
344,CHC NAMKUM,सीएचसी नामकुम,,25,0196,2,502,,2,0,False
345,CHC ORMANJHI,CHC ORMANJHI,,25,0191,160,501,0,2,0,False
346,PHC KUCHU,PHC KUCHU,,25,0191,160,502,0,1,0,False
347,PHC SILDIRI,PHC SILDIRI,,25,0191,160,503,0,1,0,False
348,CHC RATU,CHC RATU,,25,0197,161,501,,2,0,False
349,PHC NAGRI,PHC NAGRI,,25,0197,161,502,,1,0,False
350,PHC GUSBAZPUR,PHC GUSBAZPUR,,25,0197,161,503,,1,0,False
351,CHC SILLI,CHC SILLI,,25,0194,162,501,,2,0,False
352,PHC RANGA MATI,PHC RANGA MATI,,25,0194,162,502,,1,0,False
353,PHC PATRAHATU,PHC PATRAHATU,,25,0194,162,503,,1,0,False
354,CHC SONAHATU,CHC SONAHATU,,25,0195,163,501,,2,0,False
355,PHC PANDADIH,PHC PANDADIH,,25,0195,163,502,,1,0,False
356,PHC RAHE,PHC RAHE,,25,0195,163,503,,1,0,False
357,CHC TAMAR,CHC TAMAR,,25,0205,164,501,,2,0,False
358,PHC SURJAMDIH,PHC SURJAMDIH,,25,0205,164,502,,1,0,False
361,PHC ULILOHAR,PHC ULILOHAR,,25,0205,164,503,,1,0,False
362,PHC PUNDIDIRI,PHC PUNDIDIRI,,25,0205,164,504,,1,0,False
363,PHC DIRIYA,PHC DIRIYA,,25,0205,164,505,,1,0,False
364,PHC RAMHO,PHC RAMHO,,25,0205,164,506,,1,0,False
365,CHC RAJMAHAL,CHC RAJMAHAL,,9,0075,169,501,,2,0,False
366,PHC TINPAHAR,PHC TINPAHAR,,9,0075,169,502,,1,0,False
367,PHC UDHAWA,PHC UDHAWA,,9,0075,169,503,,1,0,False
368,PHC FUDKIPUR,PHC FUDKIPUR,,9,0075,169,504,,1,0,False
369,CHC BARHARWA,CHC BARHARWA,,9,0078,166,501,,2,0,False
370,PHC GWALKHOR,PHC GWALKHOR,,9,0078,166,502,,1,0,False
371,PHC KOTALPOKHAR,PHC KOTALPOKHAR,,9,0078,166,503,,1,0,False
372,CHC BARHAIT,CHC BARHAIT,,9,0073,165,501,,2,0,False
373,PHC BORHBANDH,PHC BORHBANDH,,9,0073,165,502,,1,0,False
374,CHC TONTO,CHC TONTO,,29,0243,140,501,,2,0,False
375,PHC TONTO HEAD COWATER,PHC TONTO HEAD COWATER,,29,0243,140,502,,1,0,False
376,PHC TONTOGRAM,PHC TONTOGRAM,,29,0243,140,503,,1,0,False
377,PHC JANGALGARH,PHC JANGALGARH,,29,0243,140,504,,1,0,False
378,CHC JHINKPANI,CHC JHINKPANI,,29,0248,133,501,,2,0,False
379,PHC HATHGAMARIYA,PHC HATHGAMARIYA,,29,0248,133,502,,1,0,False
380,CHC JAGANNATHPUR,CHC JAGANNATHPUR,,29,0249,132,501,,2,0,False
381,PHC JAINTHGARH,PHC JAINTHGARH,,29,0249,132,502,,1,0,False
382,PHC JITIYA,PHC JITIYA,,29,0249,132,503,,1,0,False
383,PHC PHULBANGA,PHC PHULBANGA,,9,0073,165,503,,1,0,False
384,CHC TANTNAGAR,CHC TANTNAGAR,,29,0246,139,501,,2,0,False
385,CHC BORIO,CHC BORIO,,9,0072,167,501,,2,0,False
386,PHC KATHBHARI,PHC KATHBHARI,,29,0246,139,502,,1,0,False
387,PHC BANJHI,PHC BANJHI,,9,0072,167,502,,1,0,False
388,PHC MIRJA CHOWK,PHC MIRJA CHOWK,,9,0072,167,503,,1,0,False
389,PHC MANDRO,PHC MANDRO,,9,0072,167,504,,1,0,False
390,CHC RAJNAGAR,CHC RAJNAGAR,,30,0260,179,501,,2,0,False
391,PHC CHALIYAMA,PHC CHALIYAMA,,30,0260,179,502,,1,0,False
392,CHC JALDEGA,CHC JALDEGA,,28,0231,182,501,,2,0,False
393,PHC GOVINDPUR,PHC GOVINDPUR,,30,0260,179,503,,1,0,False
395,PHC KUTUMBO,PHC KUTUMBO,,30,0260,179,504,,1,0,False
396,CHC GAMHARIYA,CHC GAMHARIYA,,30,0258,173,501,,2,0,False
397,PHC BANSJOR,PHC BANSJOR,,28,0231,182,502,,1,0,False
398,CHC KURDEG,CHC KURDEG,,28,0226,184,501,,2,0,False
399,PHC ADITYAPUR,PHC ADITYAPUR,,30,0258,173,502,,1,0,False
400,PHC HUDDU,PHC HUDDU,,30,0258,173,503,,1,0,False
401,PHC KINKEL,PHC KINKEL,,28,0226,184,502,,1,0,False
402,CHC SIMDEGA,CHC SIMDEGA,,28,0224,185,501,,2,0,False
403,PHC SEWAEE,PHC SEWAEE,,28,0224,185,502,,1,0,False
615,CHC GOILKERA,CHC GOILKERA,,29,0239,130,501,,2,0,False
617,CHC JASIDIH,CHC JASIDIH,,7,0051,209,501,0,2,0,False
622,CHC BADAJAMDA,CHC BADAJAMDA,,29,0242,207,501,0,2,0,False
623,PHC NOAMUNDI,PHC NOAMUNDI,,29,0242,207,502,0,1,0,False
624,CHC KUCHAI,CHC KUCHAI,,30,0252,177,501,,2,0,False
625,CHC KOLEBIRA,CHC KOLEBIRA,,28,0230,183,501,,2,0,False
626,CHC BANO,CHC BANO,,28,0233,180,501,,2,0,False
627,CHC THETHAITANGAR,CHC THETHAITANGAR,,28,0229,186,501,,2,0,False
628,CHC SARAIKELA,CHC SARAIKELA,,30,0259,208,501,,2,0,False
631,CHC GARU,CHC GARU,,20,0144,105,501,,2,0,False
632,BADAJAMDA,BADAJAMDA,,29,0242,207,503,,1,0,False
633,CHC GOMIA,CHC GOMIA,,13,0097,7,501,,2,0,False
634,CHC DEVIPUR,CHC DEVIPUR,,7,0055,21,501,,2,0,False
635,CHC SARATH,CHC SARATH,,7,0059,20,501,,2,0,False
636,CHC DHALBHUMGARH,CHC DHALBHUMGARH,,18,0117,143,501,,2,0,False
637,CHC DUMARIA,CHC DUMARIA,,18,0116,144,501,,2,0,False
638,CHC TORPA,CHC TORPA,,26,0207,96,501,,2,0,False
639,PHC MADHUBAN,PHC MADHUBAN,,23,0176,193,502,,1,0,False
640,PHC NARGANJ,PHC NARGANJ,,23,0176,193,503,,1,0,False
641,PHC SAROUNI,PHC SAROUNI,,8,0067,202,502,,1,0,False
722,ICDS CHAS,ICDS CHAS,,13,0101,6,502,0,100,0,False
723,UFWC CHAS,UFWC CHAS,,13,0101,6,503,0,3,0,False
