TCode,ID,Name_G,Name_E,DCode,MDDS_Code,IsVerified
0448,952,Boriguma ,Boriguma ,29,3200,True
0449,953,Bhairabsingipur ,Bhairabsingipur ,29,3201,True
0450,954,Dasamantapur ,Dasamantapur ,29,3202,True
0451,955,Lakshmipur,Lakshmipur,29,3203,True
0452,956,Narayanpatana ,Narayanpatana ,29,3204,True
0453,957,Bandhugaon ,Bandhugaon ,29,3205,True
0454,958,Kakiriguma ,Kakiriguma ,29,3206,True
0455,959,Koraput ,Koraput ,29,3207,True
0456,960,Koraput Town ,Koraput Town ,29,3208,True
0457,961,Jeypur ,Jeypur ,29,3209,True
0458,962,Kundura ,Kundura ,29,3210,True
0459,963,Boipariguda ,Boipariguda ,29,3211,True
0460,964,Machh kund ,Machh kund ,29,3212,True
0461,861,Padua ,Padua ,29,3213,True
0462,862,Nandapur ,Nandapur ,29,3214,True
0463,863,Similiguda ,Similiguda ,29,3215,True
0464,864,Sunabeda ,Sunabeda ,29,3216,True
0465,865,Damanjodi ,Damanjodi ,29,3217,True
0466,866,Pottangi ,Pottangi ,29,3218,True
0467,867,Kotiya ,Kotiya ,29,3219,True
0468,868,Malkangiri ,Malkangiri ,30,3220,True
0469,869,Mathili ,Mathili ,30,3221,True
0470,870,Mudulipada ,Mudulipada ,30,3222,True
0471,871,Chitrakonda ,Chitrakonda ,30,3223,True
0472,872,Paparmetla ,Paparmetla ,30,3224,True
0473,873,Jodamba ,Jodamba ,30,3225,True
0474,874,Orkel ,Orkel ,30,3226,True
0475,875,Kalimela ,Kalimela ,30,3227,True
0476,876,Podia ,Podia ,30,3228,True
0477,877,M.V. 79 ,M.V. 79 ,30,3229,True
0478,878,Motu ,Motu ,30,3230,True
